"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10222750,1.708,37.792,0,164.406,0,523.56,22.166,32.738,6.072,166.876,0.024,22.613,31.574,-6.072,-0.447,1.164,-0.024,"POLYGON ((37.749999128999946 1.6666664339999855, 37.833332461999944 1.6666664339999855, 37.833332461999944 1.7499997669999854, 37.749999128999946 1.7499997669999854, 37.749999128999946 1.6666664339999855))"
10222774,0.208,39.458,0.775,164.674,0.005,551.425,23.978,32.783,12.951,161.298,0.053,23.586,32.721,-12.176,0.392,0.062,-0.048,"POLYGON ((39.41666578899995 0.16666643999998598, 39.499999121999949 0.16666643999998598, 39.499999121999949 0.24999977299998596, 39.41666578899995 0.24999977299998596, 39.41666578899995 0.16666643999998598))"
10222777,2.958,38.875,0.1,174.512,0.001,542.865,22.842,33.397,12.282,160.63,0.082,23.644,32.22,-12.182,-0.802,1.177,-0.081,"POLYGON ((38.833332457999944 2.9166664289999886, 38.916665790999943 2.9166664289999886, 38.916665790999943 2.9999997619999887, 38.833332457999944 2.9999997619999887, 38.833332457999944 2.9166664289999886))"
10222802,3.458,39.125,1.9,171.851,0.011,495.445,21.065,31.965,10.239,150.234,0.065,22.14,31.028,-8.339,-1.075,0.937,-0.054,"POLYGON ((39.083332456999955 3.4166664269999885, 39.166665789999954 3.4166664269999885, 39.166665789999954 3.4999997599999886, 39.083332456999955 3.4999997599999886, 39.083332456999955 3.4166664269999885))"
10222865,0.625,37.125,0.225,148.497,0.002,391.465,17.389,28.709,25.164,140.982,0.134,17.942,28.418,-24.939,-0.553,0.291,-0.132,"POLYGON ((37.083332464999955 0.583333104999987, 37.166665797999954 0.583333104999987, 37.166665797999954 0.666666437999987, 37.083332464999955 0.666666437999987, 37.083332464999955 0.583333104999987))"
10223109,1.875,38.958,0,174.213,0,559.365,23.589,33.76,1.953,166.454,0.008,24.04,32.801,-1.953,-0.451,0.959,-0.008,"POLYGON ((38.916665790999957 1.8333330999999902, 38.999999123999956 1.8333330999999902, 38.999999123999956 1.91666643299999, 38.916665790999957 1.91666643299999, 38.916665790999957 1.8333330999999902))"
10223141,2.292,37.458,0,166.935,0,543.975,22.733,33.558,13.005,168.758,0.068,23.226,32.053,-13.005,-0.493,1.505,-0.068,"POLYGON ((37.416665796999951 2.2499997649999841, 37.499999129999949 2.2499997649999841, 37.499999129999949 2.3333330979999842, 37.416665796999951 2.3333330979999842, 37.416665796999951 2.2499997649999841))"
10223553,0.792,37.542,0,152.586,0,439.43,19.295,30.001,29.352,147.747,0.162,19.735,29.665,-29.352,-0.44,0.336,-0.162,"POLYGON ((37.499999129999964 0.74999977099998461, 37.583332462999962 0.74999977099998461, 37.583332462999962 0.83333310399998461, 37.499999129999964 0.83333310399998461, 37.499999129999964 0.74999977099998461))"
10223569,2.458,36.958,0,165.107,0,525.81,21.855,33.199,12.43,167.061,0.072,22.396,31.741,-12.43,-0.541,1.459,-0.072,"POLYGON ((36.916665798999958 2.4166664309999888, 36.999999131999957 2.4166664309999888, 36.999999131999957 2.4999997639999889, 36.916665798999958 2.4999997639999889, 36.916665798999958 2.4166664309999888))"
10223590,2.792,40.292,0.275,176.152,0.002,537.13,22.875,32.933,15.124,162.244,0.107,23.632,32.724,-14.849,-0.757,0.209,-0.106,"POLYGON ((40.249999118999938 2.7499997629999839, 40.333332451999937 2.7499997629999839, 40.333332451999937 2.8333330959999841, 40.249999118999938 2.8333330959999841, 40.249999118999938 2.7499997629999839))"
10223606,2.208,38.708,0,173.852,0,556.37,23.399,33.761,1.785,167.758,0.008,23.955,32.558,-1.785,-0.557,1.203,-0.008,"POLYGON ((38.666665791999947 2.1666664319999853, 38.749999124999945 2.1666664319999853, 38.749999124999945 2.2499997649999854, 38.666665791999947 2.2499997649999854, 38.666665791999947 2.1666664319999853))"
10223670,2.875,39.208,2.425,175.797,0.014,547.94,23.095,33.489,18.603,161.547,0.132,23.879,32.51,-16.178,-0.784,0.978,-0.118,"POLYGON ((39.166665789999939 2.83333309599999, 39.249999122999938 2.83333309599999, 39.249999122999938 2.91666642899999, 39.166665789999939 2.91666642899999, 39.166665789999939 2.83333309599999))"
10223952,0.375,39.458,0,166.361,0,558.57,24.177,33.061,9.926,162.409,0.047,23.85,32.937,-9.926,0.327,0.124,-0.047,"POLYGON ((39.41666578899995 0.33333310599999066, 39.499999121999949 0.33333310599999066, 39.499999121999949 0.41666643899999067, 39.41666578899995 0.41666643899999067, 39.41666578899995 0.33333310599999066))"
10223959,2.625,38.875,0,174.864,0,549.365,23.09,33.594,6.297,164.657,0.039,23.801,32.405,-6.297,-0.711,1.189,-0.039,"POLYGON ((38.833332457999944 2.5833330969999864, 38.916665790999943 2.5833330969999864, 38.916665790999943 2.6666664299999865, 38.833332457999944 2.6666664299999865, 38.833332457999944 2.5833330969999864))"
10224179,0.292,38.458,0,155.989,0,496.08,21.81,31.262,24.823,154.751,0.148,21.777,31.289,-24.823,0.032,-0.027,-0.148,"POLYGON ((38.416665792999964 0.24999977299998477, 38.499999125999963 0.24999977299998477, 38.499999125999963 0.33333310599998478, 38.416665792999964 0.33333310599998478, 38.416665792999964 0.24999977299998477))"
10224206,1.292,37.958,0,160.663,0,486.065,20.886,31.518,13.877,161.158,0.061,21.351,30.729,-13.877,-0.465,0.79,-0.061,"POLYGON ((37.916665794999943 1.2499997689999844, 37.999999127999942 1.2499997689999844, 37.999999127999942 1.3333331019999843, 37.916665794999943 1.3333331019999843, 37.916665794999943 1.2499997689999844))"
10224239,4.208,36.708,9.1,170.011,0.054,559.425,23.292,34.154,19.231,170.545,0.117,23.718,32.869,-10.131,-0.426,1.284,-0.063,"POLYGON ((36.666665799999947 4.1666664239999847, 36.749999132999946 4.1666664239999847, 36.749999132999946 4.2499997569999843, 36.666665799999947 4.2499997569999843, 36.666665799999947 4.1666664239999847))"
10224276,3.042,37.625,2.375,170.606,0.014,556.445,23.189,34.019,8.744,171.224,0.055,23.785,32.452,-6.369,-0.596,1.567,-0.041,"POLYGON ((37.583332462999948 2.9999997619999874, 37.666665795999947 2.9999997619999874, 37.666665795999947 3.0833330949999875, 37.583332462999948 3.0833330949999875, 37.583332462999948 2.9999997619999874))"
10224303,3.375,37.125,0.125,170.151,0.001,566.095,23.522,34.415,9.908,171.515,0.062,24.016,32.941,-9.783,-0.494,1.474,-0.061,"POLYGON ((37.083332464999955 3.3333330939999897, 37.166665797999954 3.3333330939999897, 37.166665797999954 3.41666642699999, 37.083332464999955 3.41666642699999, 37.083332464999955 3.3333330939999897))"
10224789,2.875,38.958,0,174.878,0,544.14,22.898,33.427,13.297,161.094,0.09,23.687,32.29,-13.297,-0.79,1.137,-0.09,"POLYGON ((38.916665790999957 2.83333309599999, 38.999999123999956 2.83333309599999, 38.999999123999956 2.91666642899999, 38.916665790999957 2.91666642899999, 38.916665790999957 2.83333309599999))"
10224836,2.125,39.542,0,177.403,0,563.83,23.762,33.912,6.027,166.665,0.038,24.312,33.187,-6.027,-0.55,0.725,-0.038,"POLYGON ((39.499999121999963 2.0833330989999865, 39.583332454999962 2.0833330989999865, 39.583332454999962 2.1666664319999867, 39.499999121999963 2.1666664319999867, 39.499999121999963 2.0833330989999865))"
10224877,1.958,39.042,0,175.002,0,560.9,23.638,33.826,1.713,166.847,0.007,24.12,32.874,-1.713,-0.482,0.952,-0.007,"POLYGON ((38.999999123999942 1.916666432999989, 39.083332456999941 1.916666432999989, 39.083332456999941 1.9999997659999889, 38.999999123999942 1.9999997659999889, 38.999999123999942 1.916666432999989))"
10224916,1.458,36.958,0,156.203,0,441.06,18.866,30.538,22.157,151.666,0.143,19.503,29.545,-22.157,-0.636,0.993,-0.143,"POLYGON ((36.916665798999958 1.4166664349999891, 36.999999131999957 1.4166664349999891, 36.999999131999957 1.499999767999989, 36.916665798999958 1.499999767999989, 36.916665798999958 1.4166664349999891))"
10225235,2.792,38.208,0,171.691,0,539.745,22.598,33.423,2.707,170.571,0.012,23.315,31.916,-2.707,-0.717,1.507,-0.012,"POLYGON ((38.166665793999954 2.7499997629999839, 38.249999126999953 2.7499997629999839, 38.249999126999953 2.8333330959999841, 38.166665793999954 2.8333330959999841, 38.166665793999954 2.7499997629999839))"
10225247,0.875,38.458,0,162.852,0,531.13,22.896,32.513,15.038,160.51,0.067,22.995,32.114,-15.038,-0.1,0.399,-0.067,"POLYGON ((38.416665792999964 0.8333331039999905, 38.499999125999963 0.8333331039999905, 38.499999125999963 0.91666643699999051, 38.416665792999964 0.91666643699999051, 38.416665792999964 0.8333331039999905))"
10225256,0.375,39.708,0,167.859,0,570.655,24.682,33.362,11.523,163.991,0.058,24.298,33.27,-11.523,0.384,0.092,-0.058,"POLYGON ((39.66666578799996 0.33333310599999066, 39.749999120999959 0.33333310599999066, 39.749999120999959 0.41666643899999067, 39.66666578799996 0.41666643899999067, 39.66666578799996 0.33333310599999066))"
10225257,3.625,36.292,4.65,169.253,0.027,576.415,23.9,34.837,14.012,175.118,0.089,24.178,33.537,-9.362,-0.278,1.3,-0.062,"POLYGON ((36.249999134999939 3.583333092999986, 36.333332467999938 3.583333092999986, 36.333332467999938 3.6666664259999862, 36.249999134999939 3.6666664259999862, 36.249999134999939 3.583333092999986))"
10225260,0.542,38.375,0,157.102,0,485.495,21.267,31.099,15.871,154.414,0.073,21.403,30.965,-15.871,-0.136,0.134,-0.073,"POLYGON ((38.333332459999951 0.49999977199998824, 38.41666579299995 0.49999977199998824, 38.41666579299995 0.58333310499998825, 38.333332459999951 0.58333310499998825, 38.333332459999951 0.49999977199998824))"
10225272,2.958,37.625,1.15,170.371,0.007,555.32,23.142,33.982,9.393,171.622,0.06,23.733,32.403,-8.243,-0.591,1.579,-0.053,"POLYGON ((37.583332462999948 2.9166664289999886, 37.666665795999947 2.9166664289999886, 37.666665795999947 2.9999997619999887, 37.583332462999948 2.9999997619999887, 37.583332462999948 2.9166664289999886))"
