"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10232139,1.542,39.708,0,65.24,0,139.453,25.135,35.567,46.97,36.542,1.765,24.69,33.042,-46.97,0.445,2.524,-1.765,"POLYGON ((39.66666578799996 1.4999997679999879, 39.749999120999959 1.4999997679999879, 39.749999120999959 1.5833331009999878, 39.66666578799996 1.5833331009999878, 39.66666578799996 1.4999997679999879))"
10232149,3.042,39.208,1.25,54.464,0.023,129.56,23.988,33.029,28.577,34.21,1.059,23.369,31.461,-27.327,0.619,1.568,-1.036,"POLYGON ((39.166665789999939 2.9999997619999874, 39.249999122999938 2.9999997619999874, 39.249999122999938 3.0833330949999875, 39.166665789999939 3.0833330949999875, 39.166665789999939 2.9999997619999874))"
10232400,1.792,39.542,0,66.147,0,139.988,25.29,35.418,52.945,36.21,2.086,24.481,32.762,-52.945,0.809,2.657,-2.086,"POLYGON ((39.499999121999963 1.7499997669999843, 39.583332454999962 1.7499997669999843, 39.583332454999962 1.8333330999999842, 39.499999121999963 1.8333330999999842, 39.499999121999963 1.7499997669999843))"
10232546,1.292,37.458,0.562,54.981,0.01,121.647,21.832,32.925,16.322,34.218,0.606,20.325,29.195,-15.76,1.507,3.73,-0.596,"POLYGON ((37.416665796999951 1.2499997689999844, 37.499999129999949 1.2499997689999844, 37.499999129999949 1.3333331019999843, 37.416665796999951 1.3333331019999843, 37.416665796999951 1.2499997689999844))"
10232547,1.042,37.292,8.563,45.272,0.189,103.128,19.952,29.513,13.512,32.672,0.486,18.535,27.922,-4.95,1.417,1.591,-0.297,"POLYGON ((37.249999130999953 0.99999976999998808, 37.333332463999952 0.99999976999998808, 37.333332463999952 1.083333102999988, 37.249999130999953 1.083333102999988, 37.249999130999953 0.99999976999998808))"
10233029,0.292,38.542,1.5,61.529,0.024,133.339,23.608,34.739,7.527,35.119,0.221,22.77,31.309,-6.027,0.838,3.43,-0.196,"POLYGON ((38.499999125999949 0.24999977299998477, 38.583332458999948 0.24999977299998477, 38.583332458999948 0.33333310599998478, 38.499999125999949 0.33333310599998478, 38.499999125999949 0.24999977299998477))"
10233064,2.458,38.375,0,65.077,0,127.705,23.417,33.07,12.141,36.118,0.389,23.325,31.236,-12.141,0.093,1.834,-0.389,"POLYGON ((38.333332459999951 2.4166664309999888, 38.41666579299995 2.4166664309999888, 38.41666579299995 2.4999997639999889, 38.333332459999951 2.4999997639999889, 38.333332459999951 2.4166664309999888))"
10233079,1.875,36.708,0.75,55.036,0.014,106.369,20.31,30.081,11.091,33.592,0.374,19.474,28.961,-10.341,0.836,1.121,-0.361,"POLYGON ((36.666665799999947 1.8333330999999902, 36.749999132999946 1.8333330999999902, 36.749999132999946 1.91666643299999, 36.666665799999947 1.91666643299999, 36.666665799999947 1.8333330999999902))"
10233098,1.042,39.958,0,63.628,0,138.623,24.771,35.754,15.444,36.364,0.507,24.805,33.218,-15.444,-0.034,2.536,-0.507,"POLYGON ((39.916665786999943 0.99999976999998808, 39.999999119999941 0.99999976999998808, 39.999999119999941 1.083333102999988, 39.916665786999943 1.083333102999988, 39.916665786999943 0.99999976999998808))"
10233100,1.292,36.458,26.375,39.84,0.662,87.851,18.012,27.089,19.854,33.261,0.728,18.405,28.192,6.521,-0.393,-1.103,-0.066,"POLYGON ((36.416665800999965 1.2499997689999844, 36.499999133999964 1.2499997689999844, 36.499999133999964 1.3333331019999843, 36.416665800999965 1.3333331019999843, 36.416665800999965 1.2499997689999844))"
10233144,0.458,39.542,0,67.144,0,140.421,25.12,36.009,10.458,36.256,0.342,24.491,32.871,-10.458,0.629,3.138,-0.342,"POLYGON ((39.499999121999963 0.41666643899998945, 39.583332454999962 0.41666643899998945, 39.583332454999962 0.49999977199998946, 39.499999121999963 0.49999977199998946, 39.499999121999963 0.41666643899998945))"
10233156,2.792,40.208,0.375,54.818,0.007,129.951,23.987,33.141,52.675,34.939,1.941,23.846,32.26,-52.3,0.141,0.882,-1.935,"POLYGON ((40.166665785999953 2.7499997629999839, 40.249999118999952 2.7499997629999839, 40.249999118999952 2.8333330959999841, 40.166665785999953 2.8333330959999841, 40.166665785999953 2.7499997629999839))"
10233191,2.792,37.375,0.062,68.123,0.001,144.785,26.494,36.004,5.723,37.71,0.177,23.637,31.845,-5.661,2.858,4.159,-0.177,"POLYGON ((37.333332463999966 2.7499997629999839, 37.416665796999965 2.7499997629999839, 37.416665796999965 2.8333330959999841, 37.333332463999966 2.8333330959999841, 37.333332463999966 2.7499997629999839))"
10233199,3.458,38.625,3,49.224,0.061,125.702,23.798,32.117,19.136,33.81,0.665,23.102,31.157,-16.136,0.696,0.96,-0.604,"POLYGON ((38.583332458999962 3.4166664269999885, 38.666665791999961 3.4166664269999885, 38.666665791999961 3.4999997599999886, 38.583332458999962 3.4999997599999886, 38.583332458999962 3.4166664269999885))"
10233202,3.542,38.458,3,49.173,0.061,125.702,23.798,32.117,14.94,34.023,0.536,22.824,30.974,-11.94,0.974,1.143,-0.475,"POLYGON ((38.416665792999964 3.4999997599999872, 38.499999125999963 3.4999997599999872, 38.499999125999963 3.5833330929999874, 38.416665792999964 3.5833330929999874, 38.416665792999964 3.4999997599999872))"
